period,date,Aka,Ako,Hen,Hot,Kil,Kit,Koh,Kor,Kun,Mal,Mei,Mik,Ntr,Ten,Tot
1,2019/11/9,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1
1,2019/11/10,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1
1,2019/11/21,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
1,2019/11/22,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0
1,2019/11/23,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0
2,2020/9/21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2,2020/9/22,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
2,2020/9/23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2,2020/9/24,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/9/25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/9/26,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/9/28,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/9/29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/9/30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/3,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
2,2020/10/4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/7,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0
2,2020/10/8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/9,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/11,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2,2020/10/12,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/13,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/14,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/15,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/16,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/17,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/18,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/19,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/21,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
2,2020/10/22,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2,2020/10/23,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2,2020/10/24,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2,2020/10/25,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2,2020/10/26,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2,2020/10/27,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2020/10/28,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2,2020/10/29,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
2,2020/10/30,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
2,2020/10/31,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1
2,2020/11/1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2020/11/2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
